Table,Column,DataType,Suggestion1,Score1,Suggestion2,Score2,Suggestion3,Score3,ChosenGlobalId (fill in),Notes
K12StudentCourseSection,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
Migrant,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
Military,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
OrganizationAddress,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
OrganizationFederalFunding,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
OrganizationGradeOffered,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
OrganizationPhone,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
PersonStatus,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
ProgramParticipationCTE,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
ProgramParticipationSpecialEducation,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
ProgramParticipationTitleI,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
ProgramParticipationTitleIII,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
PsPersonRace,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
SchoolPerformanceIndicatorStateDefinedStatus,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
SchoolQualityOrStudentSuccessIndicatorType,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
StateDefinedCustomIndicator,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
StateDetail,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
K12Enrollment,HispanicLatinoEthnicity,bit,Race (001943),0.7465,Has Person Demographic Race (600035),0.6742,Person Demographic Race (200282),0.6649,,
